City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,jiazi,CN,22.88,116.07,75.94,64,89,17.22,overcast clouds
258,kudahuvadhoo,MV,2.67,72.89,82.29,75,86,8.79,overcast clouds
259,lake city,US,30.19,-82.64,73.4,88,75,3.65,broken clouds
260,gornopravdinsk,RU,60.05,69.9,32.86,97,100,5.79,overcast clouds
261,guarapari,BR,-20.67,-40.5,71.6,94,75,2.24,broken clouds
262,vysokogornyy,RU,50.12,139.15,35.2,83,46,9.37,scattered clouds
263,mitsamiouli,KM,-11.38,43.28,78.94,76,1,14.88,clear sky
264,carnarvon,AU,-24.87,113.63,77.0,69,40,19.46,scattered clouds
265,taipu,BR,-5.62,-35.6,77.0,88,40,5.82,scattered clouds
266,umm kaddadah,SD,13.6,26.69,75.83,25,0,16.35,clear sky
267,timmins,CA,48.47,-81.33,26.6,100,90,4.7,light snow
268,colares,PT,38.8,-9.45,59.0,75,68,18.19,broken clouds
269,eenhana,NA,-17.47,16.33,77.0,31,37,4.7,scattered clouds
270,flin flon,CA,54.77,-101.86,20.88,92,0,4.45,clear sky
271,shimoda,JP,34.67,138.95,69.8,60,75,9.17,broken clouds
272,san carlos de bariloche,AR,-41.15,-71.31,44.6,56,40,25.28,scattered clouds
273,lata,PT,40.16,-8.33,57.0,90,38,2.98,scattered clouds
274,zhoukou,CN,33.63,114.63,67.46,37,99,2.57,overcast clouds
275,touros,BR,-5.2,-35.46,77.0,88,40,5.82,scattered clouds
276,haines junction,CA,60.75,-137.51,27.1,94,100,2.37,light snow
277,trelew,AR,-43.25,-65.31,59.25,33,11,18.1,few clouds
278,jalu,LY,29.03,21.55,62.56,88,0,5.55,clear sky
279,klyuchi,RU,52.27,79.17,42.4,79,100,14.27,light rain
280,rapid valley,US,44.06,-103.15,10.4,66,90,12.75,light rain
281,samarkand,UZ,39.65,66.96,46.4,52,0,6.93,clear sky
282,imbituba,BR,-28.24,-48.67,71.6,94,75,6.93,broken clouds
283,amboise,FR,47.41,0.98,46.4,93,0,8.05,clear sky
284,kaitangata,NZ,-46.28,169.85,53.01,59,96,8.99,overcast clouds
285,chongwe,ZM,-15.33,28.68,65.68,39,3,3.96,clear sky
286,kayes,ML,14.0,-11.0,76.55,20,1,3.6,clear sky
287,bennington,US,42.88,-73.2,37.0,74,75,4.54,broken clouds
288,najran,SA,17.49,44.13,55.4,22,0,1.88,clear sky
289,geraldton,AU,-28.77,114.6,75.2,47,0,16.11,clear sky
290,adrar,MR,20.5,-10.07,84.07,14,50,7.78,scattered clouds
291,fort nelson,CA,58.81,-122.7,28.4,54,90,5.82,overcast clouds
292,binzhou,CN,37.37,118.02,75.0,34,0,3.58,clear sky
293,plonsk,PL,52.62,20.38,52.0,100,90,8.05,mist
294,kimbe,PG,-5.55,150.14,84.36,79,46,4.61,moderate rain
295,kamenka,RU,51.32,42.77,39.0,94,22,3.91,few clouds
296,katsuura,JP,35.13,140.3,72.0,68,40,4.7,scattered clouds
297,lucapa,AO,-8.42,20.74,66.02,98,92,1.5,overcast clouds
298,hokitika,NZ,-42.72,170.97,59.14,97,100,8.19,overcast clouds
299,lagoa,PT,39.05,-27.98,64.92,78,100,12.71,overcast clouds
300,kirkwall,GB,58.98,-2.96,48.2,81,4,12.75,clear sky
301,bolgatanga,GH,10.79,-0.85,77.81,36,11,1.63,few clouds
302,hay river,CA,60.82,-115.8,28.4,79,75,10.29,broken clouds
