City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,acari,PE,76.35,clear sky,-15.43,-74.62,Hospedaje Ximens
150,ixtapa,MX,90.0,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
151,matara,LK,77.74,overcast clouds,5.95,80.54,Amaloh Boutique Resort
152,gat,IL,77.0,few clouds,31.61,34.76,OlusHome
153,conde,BR,80.6,scattered clouds,-7.26,-34.91,Pousada Beija Flor
154,la asuncion,VE,83.21,clear sky,11.03,-63.86,Colinas de Matasiete
155,puerto escondido,MX,86.0,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
156,robertsport,LR,79.7,clear sky,6.75,-11.37,Kwepunha Retreat
157,luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
158,maracacume,BR,82.78,moderate rain,-2.04,-45.96,Motel imperial
159,george town,MY,77.0,light rain,5.41,100.34,Cititel Penang
160,pauini,BR,79.92,overcast clouds,-7.71,-66.98,Casa do Kiwliks
161,kieta,PG,79.07,scattered clouds,-6.22,155.63,
162,dicabisagan,PH,80.76,moderate rain,17.08,122.42,Nancy Montanes Bernardo
163,warri,NG,76.78,overcast clouds,5.52,5.75,BON Hotel Delta
164,bubaque,GW,83.88,few clouds,11.28,-15.83,"Casa Dora, Bubaque"
165,razole,IN,75.83,clear sky,16.48,81.83,Sterling Palavelli Godavari
166,bassila,BJ,76.89,clear sky,9.01,1.67,COMPLEXE MAKOYA ET FILS
167,manaira,BR,88.57,overcast clouds,-7.71,-38.15,Pousada Irerê
168,bom jardim,BR,78.73,broken clouds,-7.8,-35.59,Pousada do Posto Jose Breno
169,abu dhabi,AE,82.4,clear sky,24.47,54.37,Beach Rotana
170,kerema,PG,76.53,overcast clouds,-7.96,145.78,Elore Lodge
171,bom jesus,BR,84.22,light rain,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
172,dhidhdhoo,MV,80.28,moderate rain,6.88,73.1,Dhidhoo beach
173,wau,SS,78.15,overcast clouds,7.7,28.0,Universal Gab Hotel
174,rajpipla,IN,76.19,clear sky,21.87,73.5,Government Guest House
175,bage,BR,84.2,clear sky,-31.33,-54.11,Hotel Obino - Bagé
176,tautira,PF,82.4,shower rain,-17.73,-149.15,Pension Oaoa
177,kavaratti,IN,81.54,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
178,samana,DO,89.6,few clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
179,cabedelo,BR,80.6,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
180,ormond beach,US,82.4,few clouds,29.29,-81.06,Royal Floridian Resort By Spinnaker Resorts
181,acapulco,MX,87.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
182,pitimbu,BR,80.6,scattered clouds,-7.47,-34.81,Reserva do Abiaí
183,inirida,CO,88.25,scattered clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
184,saint simons,US,80.6,clear sky,31.14,-81.39,Holiday Inn Express Saint Simons Island
185,haapiti,PF,82.4,shower rain,-17.57,-149.87,Linareva Moorea Beach Resort
186,hwange,ZW,75.31,clear sky,-18.37,26.5,Hwange Colliery Guest House
187,port blair,IN,79.2,moderate rain,11.67,92.75,Fortune Resort Bay Island
188,liberty,US,84.99,scattered clouds,31.83,-81.5,Sasser Trailer Park
